datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/31/2022 5:00:00 AM,1/31/2022 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6855.582,True
1/31/2022 6:00:00 AM,1/31/2022 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6875.806,True
1/31/2022 7:00:00 AM,1/31/2022 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6862.587,True
1/31/2022 8:00:00 AM,1/31/2022 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6885.290,True
1/31/2022 9:00:00 AM,1/31/2022 4:00:00 AM,RFC,WEST,AEP,AEPOPT,7060.080,True
1/31/2022 10:00:00 AM,1/31/2022 5:00:00 AM,RFC,WEST,AEP,AEPOPT,7399.464,True
1/31/2022 11:00:00 AM,1/31/2022 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7957.583,True
1/31/2022 12:00:00 PM,1/31/2022 7:00:00 AM,RFC,WEST,AEP,AEPOPT,8328.124,True
1/31/2022 1:00:00 PM,1/31/2022 8:00:00 AM,RFC,WEST,AEP,AEPOPT,8341.989,True
1/31/2022 2:00:00 PM,1/31/2022 9:00:00 AM,RFC,WEST,AEP,AEPOPT,8155.547,True
1/31/2022 3:00:00 PM,1/31/2022 10:00:00 AM,RFC,WEST,AEP,AEPOPT,7853.694,True
1/31/2022 4:00:00 PM,1/31/2022 11:00:00 AM,RFC,WEST,AEP,AEPOPT,7560.393,True
1/31/2022 5:00:00 PM,1/31/2022 12:00:00 PM,RFC,WEST,AEP,AEPOPT,7374.642,True
1/31/2022 6:00:00 PM,1/31/2022 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7148.665,True
1/31/2022 7:00:00 PM,1/31/2022 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7017.911,True
1/31/2022 8:00:00 PM,1/31/2022 3:00:00 PM,RFC,WEST,AEP,AEPOPT,6929.245,True
1/31/2022 9:00:00 PM,1/31/2022 4:00:00 PM,RFC,WEST,AEP,AEPOPT,6978.567,True
1/31/2022 10:00:00 PM,1/31/2022 5:00:00 PM,RFC,WEST,AEP,AEPOPT,7204.961,True
1/31/2022 11:00:00 PM,1/31/2022 6:00:00 PM,RFC,WEST,AEP,AEPOPT,7639.487,True
2/1/2022 12:00:00 AM,1/31/2022 7:00:00 PM,RFC,WEST,AEP,AEPOPT,7708.123,True
2/1/2022 1:00:00 AM,1/31/2022 8:00:00 PM,RFC,WEST,AEP,AEPOPT,7685.409,True
2/1/2022 2:00:00 AM,1/31/2022 9:00:00 PM,RFC,WEST,AEP,AEPOPT,7524.349,True
2/1/2022 3:00:00 AM,1/31/2022 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7244.576,True
2/1/2022 4:00:00 AM,1/31/2022 11:00:00 PM,RFC,WEST,AEP,AEPOPT,6983.451,True
2/1/2022 5:00:00 AM,2/1/2022 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6805.165,True
