datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/31/2023 5:00:00 AM,1/31/2023 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6825.568,True
1/31/2023 6:00:00 AM,1/31/2023 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6790.499,True
1/31/2023 7:00:00 AM,1/31/2023 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6744.219,True
1/31/2023 8:00:00 AM,1/31/2023 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6696.417,True
1/31/2023 9:00:00 AM,1/31/2023 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6808.759,True
1/31/2023 10:00:00 AM,1/31/2023 5:00:00 AM,RFC,WEST,AEP,AEPOPT,7146.443,True
1/31/2023 11:00:00 AM,1/31/2023 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7638.745,True
1/31/2023 12:00:00 PM,1/31/2023 7:00:00 AM,RFC,WEST,AEP,AEPOPT,8010.648,True
1/31/2023 1:00:00 PM,1/31/2023 8:00:00 AM,RFC,WEST,AEP,AEPOPT,8120.904,True
1/31/2023 2:00:00 PM,1/31/2023 9:00:00 AM,RFC,WEST,AEP,AEPOPT,8111.879,True
1/31/2023 3:00:00 PM,1/31/2023 10:00:00 AM,RFC,WEST,AEP,AEPOPT,7996.681,True
1/31/2023 4:00:00 PM,1/31/2023 11:00:00 AM,RFC,WEST,AEP,AEPOPT,7949.858,True
1/31/2023 5:00:00 PM,1/31/2023 12:00:00 PM,RFC,WEST,AEP,AEPOPT,7849.722,True
1/31/2023 6:00:00 PM,1/31/2023 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7767.145,True
1/31/2023 7:00:00 PM,1/31/2023 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7683.730,True
1/31/2023 8:00:00 PM,1/31/2023 3:00:00 PM,RFC,WEST,AEP,AEPOPT,7502.247,True
1/31/2023 9:00:00 PM,1/31/2023 4:00:00 PM,RFC,WEST,AEP,AEPOPT,7669.069,True
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,RFC,WEST,AEP,AEPOPT,7861.204,True
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,RFC,WEST,AEP,AEPOPT,8115.304,True
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,RFC,WEST,AEP,AEPOPT,8138.806,True
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,RFC,WEST,AEP,AEPOPT,7981.990,True
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,RFC,WEST,AEP,AEPOPT,7780.190,True
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7405.047,True
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,RFC,WEST,AEP,AEPOPT,7202.223,True
2/1/2023 5:00:00 AM,2/1/2023 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7048.066,True
2/1/2023 6:00:00 AM,2/1/2023 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6979.021,True
2/1/2023 7:00:00 AM,2/1/2023 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6935.038,True
2/1/2023 8:00:00 AM,2/1/2023 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6978.110,True
2/1/2023 9:00:00 AM,2/1/2023 4:00:00 AM,RFC,WEST,AEP,AEPOPT,7070.829,True
2/1/2023 10:00:00 AM,2/1/2023 5:00:00 AM,RFC,WEST,AEP,AEPOPT,7478.284,True
2/1/2023 11:00:00 AM,2/1/2023 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7994.039,True
2/1/2023 12:00:00 PM,2/1/2023 7:00:00 AM,RFC,WEST,AEP,AEPOPT,8361.074,True
2/1/2023 1:00:00 PM,2/1/2023 8:00:00 AM,RFC,WEST,AEP,AEPOPT,8304.739,True
2/1/2023 2:00:00 PM,2/1/2023 9:00:00 AM,RFC,WEST,AEP,AEPOPT,8089.646,True
2/1/2023 3:00:00 PM,2/1/2023 10:00:00 AM,RFC,WEST,AEP,AEPOPT,7903.104,True
2/1/2023 4:00:00 PM,2/1/2023 11:00:00 AM,RFC,WEST,AEP,AEPOPT,7667.565,True
2/1/2023 5:00:00 PM,2/1/2023 12:00:00 PM,RFC,WEST,AEP,AEPOPT,7533.496,True
2/1/2023 6:00:00 PM,2/1/2023 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7417.492,True
2/1/2023 7:00:00 PM,2/1/2023 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7259.543,True
2/1/2023 8:00:00 PM,2/1/2023 3:00:00 PM,RFC,WEST,AEP,AEPOPT,7198.869,True
2/1/2023 9:00:00 PM,2/1/2023 4:00:00 PM,RFC,WEST,AEP,AEPOPT,7243.876,True
2/1/2023 10:00:00 PM,2/1/2023 5:00:00 PM,RFC,WEST,AEP,AEPOPT,7645.734,True
2/1/2023 11:00:00 PM,2/1/2023 6:00:00 PM,RFC,WEST,AEP,AEPOPT,7942.114,True
2/2/2023 12:00:00 AM,2/1/2023 7:00:00 PM,RFC,WEST,AEP,AEPOPT,7991.155,True
2/2/2023 1:00:00 AM,2/1/2023 8:00:00 PM,RFC,WEST,AEP,AEPOPT,7944.747,True
2/2/2023 2:00:00 AM,2/1/2023 9:00:00 PM,RFC,WEST,AEP,AEPOPT,7724.515,True
2/2/2023 3:00:00 AM,2/1/2023 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7461.225,True
2/2/2023 4:00:00 AM,2/1/2023 11:00:00 PM,RFC,WEST,AEP,AEPOPT,7179.167,True
2/2/2023 5:00:00 AM,2/2/2023 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7044.922,True
2/2/2023 6:00:00 AM,2/2/2023 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6921.512,True
2/2/2023 7:00:00 AM,2/2/2023 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6859.682,True
2/2/2023 8:00:00 AM,2/2/2023 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6811.409,True
2/2/2023 9:00:00 AM,2/2/2023 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6932.872,True
2/2/2023 10:00:00 AM,2/2/2023 5:00:00 AM,RFC,WEST,AEP,AEPOPT,7273.202,True
2/2/2023 11:00:00 AM,2/2/2023 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7785.805,True
2/2/2023 12:00:00 PM,2/2/2023 7:00:00 AM,RFC,WEST,AEP,AEPOPT,8098.881,True
2/2/2023 1:00:00 PM,2/2/2023 8:00:00 AM,RFC,WEST,AEP,AEPOPT,8078.665,True
2/2/2023 2:00:00 PM,2/2/2023 9:00:00 AM,RFC,WEST,AEP,AEPOPT,7822.413,True
2/2/2023 3:00:00 PM,2/2/2023 10:00:00 AM,RFC,WEST,AEP,AEPOPT,7604.553,True
2/2/2023 4:00:00 PM,2/2/2023 11:00:00 AM,RFC,WEST,AEP,AEPOPT,7413.212,True
2/2/2023 5:00:00 PM,2/2/2023 12:00:00 PM,RFC,WEST,AEP,AEPOPT,7334.891,True
2/2/2023 6:00:00 PM,2/2/2023 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7233.549,True
2/2/2023 7:00:00 PM,2/2/2023 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7146.190,True
2/2/2023 8:00:00 PM,2/2/2023 3:00:00 PM,RFC,WEST,AEP,AEPOPT,7058.136,True
2/2/2023 9:00:00 PM,2/2/2023 4:00:00 PM,RFC,WEST,AEP,AEPOPT,7166.470,True
2/2/2023 10:00:00 PM,2/2/2023 5:00:00 PM,RFC,WEST,AEP,AEPOPT,7382.208,True
2/2/2023 11:00:00 PM,2/2/2023 6:00:00 PM,RFC,WEST,AEP,AEPOPT,7660.921,True
2/3/2023 12:00:00 AM,2/2/2023 7:00:00 PM,RFC,WEST,AEP,AEPOPT,7764.847,True
2/3/2023 1:00:00 AM,2/2/2023 8:00:00 PM,RFC,WEST,AEP,AEPOPT,7627.608,True
2/3/2023 2:00:00 AM,2/2/2023 9:00:00 PM,RFC,WEST,AEP,AEPOPT,7549.593,True
2/3/2023 3:00:00 AM,2/2/2023 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7182.421,True
2/3/2023 4:00:00 AM,2/2/2023 11:00:00 PM,RFC,WEST,AEP,AEPOPT,6927.477,True
2/3/2023 5:00:00 AM,2/3/2023 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6796.688,True
2/3/2023 6:00:00 AM,2/3/2023 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6738.345,True
2/3/2023 7:00:00 AM,2/3/2023 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6786.507,True
2/3/2023 8:00:00 AM,2/3/2023 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6888.020,True
2/3/2023 9:00:00 AM,2/3/2023 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6936.178,True
2/3/2023 10:00:00 AM,2/3/2023 5:00:00 AM,RFC,WEST,AEP,AEPOPT,7293.750,True
2/3/2023 11:00:00 AM,2/3/2023 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7788.717,True
2/3/2023 12:00:00 PM,2/3/2023 7:00:00 AM,RFC,WEST,AEP,AEPOPT,8169.911,True
2/3/2023 1:00:00 PM,2/3/2023 8:00:00 AM,RFC,WEST,AEP,AEPOPT,8227.108,True
2/3/2023 2:00:00 PM,2/3/2023 9:00:00 AM,RFC,WEST,AEP,AEPOPT,8224.312,True
2/3/2023 3:00:00 PM,2/3/2023 10:00:00 AM,RFC,WEST,AEP,AEPOPT,8219.810,True
2/3/2023 4:00:00 PM,2/3/2023 11:00:00 AM,RFC,WEST,AEP,AEPOPT,8077.832,True
2/3/2023 5:00:00 PM,2/3/2023 12:00:00 PM,RFC,WEST,AEP,AEPOPT,8336.682,True
2/3/2023 6:00:00 PM,2/3/2023 1:00:00 PM,RFC,WEST,AEP,AEPOPT,7899.488,True
2/3/2023 7:00:00 PM,2/3/2023 2:00:00 PM,RFC,WEST,AEP,AEPOPT,7710.963,True
2/3/2023 8:00:00 PM,2/3/2023 3:00:00 PM,RFC,WEST,AEP,AEPOPT,7666.480,True
2/3/2023 9:00:00 PM,2/3/2023 4:00:00 PM,RFC,WEST,AEP,AEPOPT,7807.977,True
2/3/2023 10:00:00 PM,2/3/2023 5:00:00 PM,RFC,WEST,AEP,AEPOPT,8009.033,True
2/3/2023 11:00:00 PM,2/3/2023 6:00:00 PM,RFC,WEST,AEP,AEPOPT,8284.964,True
2/4/2023 12:00:00 AM,2/3/2023 7:00:00 PM,RFC,WEST,AEP,AEPOPT,8289.477,True
2/4/2023 1:00:00 AM,2/3/2023 8:00:00 PM,RFC,WEST,AEP,AEPOPT,8160.929,True
2/4/2023 2:00:00 AM,2/3/2023 9:00:00 PM,RFC,WEST,AEP,AEPOPT,8028.283,True
2/4/2023 3:00:00 AM,2/3/2023 10:00:00 PM,RFC,WEST,AEP,AEPOPT,7839.764,True
2/4/2023 4:00:00 AM,2/3/2023 11:00:00 PM,RFC,WEST,AEP,AEPOPT,7579.834,True
2/4/2023 5:00:00 AM,2/4/2023 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7480.719,True
2/4/2023 6:00:00 AM,2/4/2023 1:00:00 AM,RFC,WEST,AEP,AEPOPT,7297.582,True
2/4/2023 7:00:00 AM,2/4/2023 2:00:00 AM,RFC,WEST,AEP,AEPOPT,7253.947,True
2/4/2023 8:00:00 AM,2/4/2023 3:00:00 AM,RFC,WEST,AEP,AEPOPT,7365.915,True
